Year,Ceremony,Award,Winner,Name,Film
1934,7,Outstanding Production,,Metro-Goldwyn-Mayer,Viva Villa! 
1934,7,Outstanding Production,,Jesse L. Lasky,The White Parade 
1934,7,Short Subject (Cartoon),,Charles Mintz: Producer,Holiday Land 
1934,7,Short Subject (Cartoon),,Walter Lantz: Producer,Jolly Little Elves 
1934,7,Short Subject (Cartoon),1,Walt Disney: Producer,The Tortoise and the Hare 
1934,7,Short Subject (Comedy),1,Kenneth Macgowan: Producer,La Cucaracha 
1934,7,Short Subject (Comedy),,Jules White: Producer,Men in Black 
1934,7,Short Subject (Comedy),,Warner Brothers,"What, No Men! "
1934,7,Short Subject (Novelty),,Skibo Productions,Bosom Friends 
1934,7,Short Subject (Novelty),1,Stacy Woodard: Producer; Horace Woodard: Producer,City of Wax 
1934,7,Short Subject (Novelty),,Pete Smith: Producer,Strikes and Spares 
1934,7,Sound Recording,,"Thomas T. Moulton: Sound Director, United Artists Studio Sound Department",The Affairs of Cellini 
1934,7,Sound Recording,,"Franklin B. Hansen: Sound Director, Paramount Studio Sound Department",Cleopatra 
1934,7,Sound Recording,,"Nathan Levinson: Sound Director, Warner Brothers-First National Studio Sound Department",Flirtation Walk 
1934,7,Sound Recording,,"Carl Dreher: Sound Director, RKO Radio Studio Sound Department",The Gay Divorcee 
1934,7,Sound Recording,,"Theodore Soderberg: Sound Director, Universal Studio Sound Department",Imitation of Life 
1934,7,Sound Recording,1,"John Livadary: Sound Director, Columbia Studio Sound Department",One Night of Love 
1934,7,Sound Recording,,"Douglas Shearer: Sound Director, Metro-Goldwyn-Mayer Studio Sound Department",Viva Villa! 
1934,7,Sound Recording,,"E. H. Hansen: Sound Director, Fox Studio Sound Department",The White Parade 
1934,7,Writing (Adaptation),1,Robert Riskin,It Happened One Night 
1934,7,Writing (Adaptation),,Frances Goodrich; Albert Hackett,The Thin Man 
1934,7,Writing (Adaptation),,Ben Hecht,Viva Villa! 
1934,7,Writing (Original Story),,Mauri Grashin,Hide-Out 
1934,7,Writing (Original Story),1,Arthur Caesar,Manhattan Melodrama 
1934,7,Writing (Original Story),,Norman Krasna,The Richest Girl in the World 
1935,8,Actor,,Clark Gable,Mutiny on the Bounty
1935,8,Actor,,Charles Laughton,Mutiny on the Bounty
1935,8,Actor,1,Victor McLaglen,The Informer
1935,8,Actor,,Paul Muni,Black Fury
1935,8,Actor,,Franchot Tone,Mutiny on the Bounty
1935,8,Actress,,Elisabeth Bergner,Escape Me Never
1935,8,Actress,,Claudette Colbert,Private Worlds
1935,8,Actress,1,Bette Davis,Dangerous
1935,8,Actress,,Katharine Hepburn,Alice Adams
1935,8,Actress,,Miriam Hopkins,Becky Sharp
1935,8,Actress,,Merle Oberon,The Dark Angel
1935,8,Art Direction,1,Richard Day,The Dark Angel 
1935,8,Art Direction,,Hans Dreier; Roland Anderson,The Lives of a Bengal Lancer 
1935,8,Art Direction,,Van Nest Polglase; Carroll Clark,Top Hat 
1935,8,Assistant Director,,Joseph Newman,David Copperfield 
1935,8,Assistant Director,,Eric Stacey,Les Miserables 
1935,8,Assistant Director,1,Clem Beauchamp; Paul Wing,The Lives of a Bengal Lancer 
1935,8,Assistant Director,,Sherry Shourds,A Midsummer Night's Dream 
1935,8,Cinematography,,Ray June,Barbary Coast 
1935,8,Cinematography,,Victor Milner,The Crusades 
1935,8,Cinematography,,Gregg Toland,Les Miserables 
1935,8,Cinematography,1,Hal Mohr,A Midsummer Night's Dream 
1935,8,Dance Direction,,Busby Berkeley,"Gold Diggers: Lullaby of Broadway, The Words Are In My Heart"
1935,8,Dance Direction,,Bobby Connolly,Go into Your Dance: Latin from Manhattan
1935,8,Dance Direction,,Bobby Connolly,Go into Your Dance: Latin from Manhattan; Broadway Hostess: Playboy from Paree
1935,8,Dance Direction,1,Dave Gould,Broadway Melody: I've Got a Feeling You're Fooling; Folies Bergere: Straw Hat
1935,8,Dance Direction,,Sammy Lee,"King of Burlesque: Lovely Lady, Too Good To Be True"
